rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_score,ra,dec,koi_kepmag
8519,11968463,K02433.05,,FALSE POSITIVE,0.0000,294.338470,50.336540,15.212
8520,7681230,K04294.01,,FALSE POSITIVE,0.0000,291.364230,43.385921,14.843
8521,9079587,K07921.01,,FALSE POSITIVE,0.0000,287.715420,45.436329,15.616
8522,8971044,K05592.01,,CANDIDATE,,297.483120,45.291142,15.054
8523,9847239,K05722.01,,FALSE POSITIVE,0.0000,297.741120,46.660488,14.876
8524,8105719,K05476.01,,CANDIDATE,1.0000,294.606290,43.937141,15.563
8525,9049697,K05607.01,,FALSE POSITIVE,0.0000,299.823760,45.334881,15.158
8526,9941550,K05739.01,,FALSE POSITIVE,0.0000,286.903470,46.816341,13.587
8527,4862332,K06463.01,,FALSE POSITIVE,0.0020,298.161290,39.900970,13.915
8528,4912589,K06469.01,,FALSE POSITIVE,0.0000,288.320500,40.000523,12.869
8529,4940201,K06476.01,,FALSE POSITIVE,0.0000,295.983520,40.061661,14.984
8530,4995716,K06484.01,,CANDIDATE,,286.547420,40.150539,15.696
8531,5098757,K06520.01,,FALSE POSITIVE,,291.655610,40.253944,12.734
8532,9286728,K07154.01,,FALSE POSITIVE,0.0000,294.155030,45.707230,14.567
8533,9304561,K07158.01,,FALSE POSITIVE,,299.682710,45.711330,13.920
8534,9340411,K07162.01,,CANDIDATE,0.9790,291.052700,45.835129,13.031
8535,9392702,K07167.01,,FALSE POSITIVE,0.0000,286.069580,45.900581,14.618
8536,9490342,K07180.01,,CANDIDATE,,300.138550,46.061691,13.728
8537,2854181,K02232.02,,CANDIDATE,0.9990,291.813020,38.088181,15.331
8538,7185487,K06839.01,,FALSE POSITIVE,,286.618960,42.778561,16.670
8539,7217088,K06849.01,,CANDIDATE,0.9970,296.395480,42.780140,15.082
8540,7362534,K06864.01,,FALSE POSITIVE,,291.708130,42.969410,13.767
8541,7376982,K06871.01,,FALSE POSITIVE,0.0000,295.825410,42.941639,13.608
8542,7431665,K06877.01,,FALSE POSITIVE,0.0350,287.376620,43.009491,10.974
8543,11502179,K07453.01,,FALSE POSITIVE,,289.080990,49.420315,13.035
8544,11602794,K07460.01,,CANDIDATE,0.9250,287.319120,49.656990,15.597
8545,11662440,K07469.01,,FALSE POSITIVE,0.0000,292.217320,49.707901,15.852
8546,11757422,K07476.01,,FALSE POSITIVE,0.0010,288.592800,49.968361,15.435
8547,11854636,K07484.01,,FALSE POSITIVE,0.2350,286.102810,50.126541,15.424
8548,10647452,K04366.01,,CANDIDATE,0.9530,282.913970,47.970299,15.556
8549,8278685,K04435.01,,CANDIDATE,0.9990,281.955690,44.261532,13.517
8550,7777818,K04380.01,,CANDIDATE,1.0000,298.949010,43.441715,13.384
8551,5385410,K04323.01,,CANDIDATE,0.9100,297.581940,40.531300,13.582
8552,5084171,K04202.01,Kepler-1567 b,CONFIRMED,0.9490,286.695220,40.291809,15.672
8553,8234889,K05490.01,,FALSE POSITIVE,,292.387240,44.130070,15.503
8554,8307489,K05502.01,,FALSE POSITIVE,,294.617610,44.216881,12.338
8555,9153246,K05627.01,,FALSE POSITIVE,,291.276250,45.568192,14.430
8556,8352009,K05506.01,,CANDIDATE,,285.795720,44.350510,14.152
8557,9166700,K05632.01,,CANDIDATE,0.9280,296.338130,45.545109,11.154
8558,5196851,K06539.01,,FALSE POSITIVE,,294.541050,40.308029,12.509
8559,5269407,K06548.01,,FALSE POSITIVE,0.0000,290.090790,40.461830,14.164
8560,5298620,K06558.01,,FALSE POSITIVE,0.0000,297.639400,40.490452,15.706
8561,5347784,K06567.01,,FALSE POSITIVE,0.0000,286.822510,40.513222,13.094
8562,5389184,K06575.01,,FALSE POSITIVE,0.0000,298.400090,40.585670,14.174
8563,9529294,K07184.01,,FALSE POSITIVE,0.0000,293.013000,46.166561,14.587
8564,9541163,K07189.01,,FALSE POSITIVE,0.0000,297.293950,46.102341,15.449
8565,9630640,K07204.01,,FALSE POSITIVE,0.0000,281.630190,46.321152,13.658
8566,9640123,K07209.01,,CANDIDATE,0.9910,287.510710,46.389950,13.816
8567,8590776,K07900.01,,FALSE POSITIVE,0.0340,301.165560,44.664108,14.517
8568,9657636,K07219.01,,FALSE POSITIVE,,295.192780,46.371880,11.253
8569,8487838,K04596.01,,FALSE POSITIVE,0.0000,288.958250,44.577999,14.171
8570,7821010,K02938.01,,FALSE POSITIVE,0.0000,291.319850,43.595470,10.816
8571,3230805,K03068.02,,CANDIDATE,1.0000,290.260280,38.354988,14.976
8572,7592529,K06889.01,,CANDIDATE,,286.142910,43.236351,11.649
8573,7630658,K06895.01,,FALSE POSITIVE,0.0000,297.915190,43.256203,13.893
8574,7691527,K06905.01,,FALSE POSITIVE,0.0000,294.732600,43.349522,15.431
8575,7755741,K06913.02,,CANDIDATE,,292.787020,43.416039,13.752
8576,11923819,K07496.01,,FALSE POSITIVE,0.0000,296.464290,50.286152,11.562
8577,11970288,K07501.01,,FALSE POSITIVE,0.0000,295.212550,50.316910,11.308
8578,12105785,K07512.01,,FALSE POSITIVE,0.0000,288.487400,50.675461,13.032
8579,8625732,K04701.01,,FALSE POSITIVE,0.0000,292.148040,44.704140,14.817
8580,8377197,K04727.01,,FALSE POSITIVE,,295.854980,44.301601,13.516
8581,8295671,K04593.01,,FALSE POSITIVE,0.0000,290.360200,44.273361,14.652
8582,8937762,K04668.01,,CANDIDATE,0.9780,285.212830,45.251400,14.269
8583,3438976,K04527.01,,FALSE POSITIVE,0.0000,290.120210,38.534821,14.110
8584,7416306,K05388.01,,FALSE POSITIVE,0.0860,280.521330,43.077068,13.668
8585,8414914,K05513.01,,FALSE POSITIVE,0.0000,284.520870,44.455078,17.908
8586,10132908,K05767.01,,FALSE POSITIVE,,288.509310,47.120701,14.790
8587,8474892,K05520.01,,CANDIDATE,,281.763120,44.577190,14.372
8588,8499922,K05525.01,,FALSE POSITIVE,,293.662450,44.527512,13.409
8589,5466109,K06582.01,,CANDIDATE,0.7860,296.471800,40.681622,15.225
8590,5479973,K06589.01,,FALSE POSITIVE,0.0000,299.380460,40.694759,14.889
8591,5534476,K06595.01,,FALSE POSITIVE,0.0000,292.113620,40.792179,12.407
8592,5622250,K06608.01,,FALSE POSITIVE,0.0000,292.513210,40.827560,14.203
8593,5702770,K06617.01,,CANDIDATE,0.8520,290.915040,40.988499,15.032
8594,9674320,K07223.01,,CANDIDATE,0.9470,300.345250,46.339882,14.634
8595,9790965,K07231.01,,FALSE POSITIVE,0.0000,298.911620,46.586578,13.388
8596,9906489,K07249.01,,FALSE POSITIVE,0.0000,297.523590,46.703129,12.039
8597,10020423,K07273.01,,FALSE POSITIVE,0.0000,295.297910,46.920471,15.178
8598,10031409,K07276.01,,FALSE POSITIVE,0.0000,298.684840,46.949970,13.553
8599,4843592,K04683.01,,FALSE POSITIVE,0.0000,294.023470,39.924080,15.120
8600,3858919,K05990.01,,FALSE POSITIVE,0.0000,293.702910,38.956291,15.999
8601,7100673,K04032.05,,CANDIDATE,0.7900,285.728490,42.654530,12.639
8602,3765917,K04526.02,,CANDIDATE,1.0000,295.968930,38.867168,15.271
8603,7816680,K06920.01,,FALSE POSITIVE,0.0000,289.921330,43.508221,15.573
8604,7960295,K06939.01,,FALSE POSITIVE,0.0000,291.893430,43.730251,19.485
8605,8007675,K06949.01,,FALSE POSITIVE,0.1260,282.154850,43.867352,12.047
8606,8098300,K06964.01,,FALSE POSITIVE,0.0000,292.058720,43.925228,12.817
8607,12302391,K07519.01,,FALSE POSITIVE,0.0000,288.403780,51.073761,15.128
8608,12367310,K07530.01,,FALSE POSITIVE,0.0000,296.349950,51.123440,13.835
8609,12504353,K07537.01,,FALSE POSITIVE,,287.863310,51.488522,15.166
8610,3123418,K07542.01,,FALSE POSITIVE,,293.025450,38.213261,14.574
8611,2576224,K04465.01,,FALSE POSITIVE,,291.546260,37.817749,12.734
8612,7281484,K04536.01,,FALSE POSITIVE,0.0000,291.610110,42.810459,12.318
8613,12108293,K04540.01,,FALSE POSITIVE,0.0000,289.940190,50.652771,14.837
8614,10140122,K04545.01,,CANDIDATE,0.6190,291.458130,47.158630,15.357
8615,3962684,K04908.01,,FALSE POSITIVE,0.0000,293.682070,39.011120,13.956
8616,8761550,K07912.01,,FALSE POSITIVE,0.0100,294.866390,44.980991,12.238
8617,5289857,K05150.01,,CANDIDATE,1.0000,295.785860,40.479771,13.681
8618,4068391,K05036.01,,FALSE POSITIVE,,294.400050,39.171589,15.140
8619,4077252,K05038.01,,FALSE POSITIVE,0.0000,296.307160,39.117119,12.314
8620,5440651,K05168.01,,FALSE POSITIVE,,289.390780,40.654781,15.341
8621,1297263,K04922.01,,FALSE POSITIVE,,291.948520,36.952080,13.636
8622,11444974,K05898.01,,FALSE POSITIVE,,285.829830,49.394310,13.717
8623,11456256,K05901.01,,CANDIDATE,0.9250,292.431370,49.368561,12.332
8624,5735878,K06622.01,,FALSE POSITIVE,0.0000,299.161740,40.927010,13.125
8625,5809372,K06630.01,,CANDIDATE,0.9700,296.736760,41.000660,12.954
8626,5952457,K06637.01,,FALSE POSITIVE,0.0000,289.299770,41.278751,15.283
8627,5977541,K06642.01,,FALSE POSITIVE,0.0000,296.475460,41.241116,12.500
8628,6029130,K06647.01,,FALSE POSITIVE,0.0000,287.039790,41.328869,14.832
8629,8686761,K07904.01,,FALSE POSITIVE,0.0000,290.877350,44.861591,13.917
8630,10066755,K07281.01,,CANDIDATE,,288.219760,47.041279,12.446
8631,10098534,K07287.01,,FALSE POSITIVE,,299.583530,47.022888,15.017
8632,10274244,K07303.01,,FALSE POSITIVE,0.0000,291.936400,47.309689,11.544
8633,10292465,K07307.01,,FALSE POSITIVE,0.0000,298.136320,47.384529,14.956
8634,10332789,K07311.01,,FALSE POSITIVE,0.0000,289.036800,47.465950,15.861
8635,4753561,K05996.01,,FALSE POSITIVE,0.0000,293.737150,39.825859,14.928
8636,5470960,K06007.01,,FALSE POSITIVE,0.0000,297.534300,40.653389,15.955
8637,10843203,K01287.01,,FALSE POSITIVE,0.0000,282.232730,48.271198,15.910
8638,11176166,K05875.02,,FALSE POSITIVE,0.0360,283.068630,48.802078,14.496
8639,2012722,K06257.01,,FALSE POSITIVE,0.0000,291.011470,37.433640,11.661
8640,2438061,K06270.01,,FALSE POSITIVE,0.0000,290.277010,37.790970,
8641,2557350,K06276.01,,CANDIDATE,0.9600,286.819150,37.859009,15.870
8642,8120820,K06971.01,,CANDIDATE,0.3580,298.700010,43.976490,14.784
8643,8145958,K06978.01,,CANDIDATE,0.9780,282.841030,44.049728,13.359
8644,8192861,K06987.01,,FALSE POSITIVE,,299.714080,44.037189,13.866
8645,8227464,K06994.01,,CANDIDATE,0.9940,289.771210,44.139969,12.832
8646,8248103,K07002.01,,CANDIDATE,0.7800,296.695740,44.150761,14.991
8647,4380560,K07548.01,,FALSE POSITIVE,0.0000,295.381500,39.453732,15.062
8648,6508734,K07568.01,,FALSE POSITIVE,,287.084380,41.954060,15.644
8649,7032568,K07576.01,,FALSE POSITIVE,0.0000,291.460330,42.581261,13.831
8650,8579684,K07594.01,,CANDIDATE,,298.200160,44.608501,12.579
8651,10253638,K07608.01,,FALSE POSITIVE,0.0000,281.638890,47.314121,13.272
8652,8873450,K07913.01,,FALSE POSITIVE,0.0000,286.748570,45.158741,14.164
8653,7889486,K03300.01,,FALSE POSITIVE,0.0000,291.282960,43.608238,15.752
8654,9291039,K03230.01,,FALSE POSITIVE,0.0000,295.719420,45.747559,12.239
8655,3849187,K04780.01,,CANDIDATE,1.0000,291.135740,38.905430,15.414
8656,9827596,K04855.01,,FALSE POSITIVE,0.0000,290.361420,46.661331,14.561
8657,3343281,K04860.01,,FALSE POSITIVE,0.2730,291.730260,38.411461,15.019
8658,8880317,K07915.01,,CANDIDATE,0.3240,289.921970,45.103920,13.678
8659,6599305,K05301.01,,FALSE POSITIVE,,289.724610,42.006050,14.519
8660,2163226,K04933.01,,FALSE POSITIVE,,292.102450,37.566910,15.107
